eventName,id,eventId,runners,path
Northamptonshire v Somerset,1.231431366,33467057,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 475559, 'name': 'Northamptonshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 5995, 'name': 'Somerset'}],hist_data/ADVANCED/2024/Aug/7/33467057/1.231431366
Leinster Lightning v North-West Warriors,1.232375043,33534236,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 19587555, 'name': 'Leinster Lightning'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 25651861, 'name': 'North-West Warriors'}],hist_data/ADVANCED/2024/Aug/29/33534236/1.232375043
Barbados Royals W v Trinidad Knight Riders W,1.232376319,33534254,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 47674067, 'name': 'Barbados Royals W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72963954, 'name': 'Trinidad Knight Riders W'}],hist_data/ADVANCED/2024/Aug/29/33534254/1.232376319
Ireland Women v Sri Lanka Women,1.231812237,33494693,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 10108898, 'name': 'Ireland Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 10787826, 'name': 'Sri Lanka Women'}],hist_data/ADVANCED/2024/Aug/16/33494693/1.231812237
Netherlands Women v Scotland Women,1.231835108,33497015,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25686043, 'name': 'Netherlands Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 12482925, 'name': 'Scotland Women'}],hist_data/ADVANCED/2024/Aug/16/33497015/1.231835108
Worcestershire v Warwickshire,1.231819462,33495564,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31372, 'name': 'Worcestershire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 2120, 'name': 'Warwickshire'}],hist_data/ADVANCED/2024/Aug/16/33495564/1.231819462
Leicestershire v Hampshire,1.231819456,33495565,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31377, 'name': 'Leicestershire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 3961, 'name': 'Hampshire'}],hist_data/ADVANCED/2024/Aug/16/33495565/1.231819456
Birmingham Phoenix v Northern Superchargers,1.231432440,33467052,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354921, 'name': 'Birmingham Phoenix'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354924, 'name': 'Northern Superchargers'}],hist_data/ADVANCED/2024/Aug/6/33467052/1.231432440
Manchester Originals W v Oval Invincibles W,1.231431378,33467053,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40296818, 'name': 'Manchester Originals W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40380901, 'name': 'Oval Invincibles W'}],hist_data/ADVANCED/2024/Aug/6/33467053/1.231431378
Surrey Jaguars v Montreal Tigers,1.231465188,33469581,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 58385184, 'name': 'Surrey Jaguars'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 19144241, 'name': 'Montreal Tigers'}],hist_data/ADVANCED/2024/Aug/6/33469581/1.231465188
Brampton Wolves v Mississauga Bangla Tigers,1.231465258,33469587,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25173012, 'name': 'Brampton Wolves'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 71847983, 'name': 'Mississauga Bangla Tigers'}],hist_data/ADVANCED/2024/Aug/6/33469587/1.231465258
Birmingham Phoenix W v Northern Superchargers W,1.231400711,33465209,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40296819, 'name': 'Birmingham Phoenix W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40380900, 'name': 'Northern Superchargers W'}],hist_data/ADVANCED/2024/Aug/6/33465209/1.231400711
Middlesex v Durham,1.231401019,33465238,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31378, 'name': 'Middlesex'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31374, 'name': 'Durham'}],hist_data/ADVANCED/2024/Aug/6/33465238/1.231401019
Papua New Guinea Women v Scotland Women,1.231469608,33469869,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 12474498, 'name': 'Papua New Guinea Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 12482925, 'name': 'Scotland Women'}],hist_data/ADVANCED/2024/Aug/6/33469869/1.231469608
Yorkshire v Essex,1.231401013,33465237,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 655, 'name': 'Yorkshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31376, 'name': 'Essex'}],hist_data/ADVANCED/2024/Aug/6/33465237/1.231401013
Manchester Originals v Oval Invincibles,1.231432152,33467051,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354922, 'name': 'Manchester Originals'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354923, 'name': 'Oval Invincibles'}],hist_data/ADVANCED/2024/Aug/6/33467051/1.231432152
Leicestershire v Surrey,1.231442166,33467903,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31377, 'name': 'Leicestershire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 424676, 'name': 'Surrey'}],hist_data/ADVANCED/2024/Aug/6/33467903/1.231442166
Cyprus v Malta,1.232352483,33532605,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 61422697, 'name': 'Cyprus'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 48800301, 'name': 'Malta'}],hist_data/ADVANCED/2024/Aug/28/33532605/1.232352483
Barbados Royals W v Trinidad Knight Riders W,1.232320889,33529195,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 47674067, 'name': 'Barbados Royals W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72963954, 'name': 'Trinidad Knight Riders W'}],hist_data/ADVANCED/2024/Aug/28/33529195/1.232320889
Spain v Finland,1.232352479,33532598,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 24640635, 'name': 'Spain'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 48610314, 'name': 'Finland'}],hist_data/ADVANCED/2024/Aug/28/33532598/1.232352479
Guernsey v Denmark,1.232352477,33532565,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 61077257, 'name': 'Guernsey'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 206388, 'name': 'Denmark'}],hist_data/ADVANCED/2024/Aug/28/33532565/1.232352477
Leinster Lightning v North-West Warriors,1.232283832,33527284,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 19587555, 'name': 'Leinster Lightning'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 25651861, 'name': 'North-West Warriors'}],hist_data/ADVANCED/2024/Aug/28/33527284/1.232283832
Czechia v Estonia,1.232352481,33532625,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 60971788, 'name': 'Czechia'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 11392436, 'name': 'Estonia'}],hist_data/ADVANCED/2024/Aug/28/33532625/1.232352481
Netherlands v USA,1.232335220,33531036,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 228749, 'name': 'Netherlands'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 891555, 'name': 'USA'}],hist_data/ADVANCED/2024/Aug/28/33531036/1.232335220
Netherlands v Canada,1.231845469,33497494,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 228749, 'name': 'Netherlands'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 144197, 'name': 'Canada'}],hist_data/ADVANCED/2024/Aug/17/33497494/1.231845469
Oval Invincibles Women v London Spirit Women,1.231818131,33495342,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096582, 'name': 'Oval Invincibles Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096576, 'name': 'London Spirit Women'}],hist_data/ADVANCED/2024/Aug/17/33495342/1.231818131
Birmingham Phoenix v Southern Brave,1.231859758,33498595,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354921, 'name': 'Birmingham Phoenix'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354926, 'name': 'Southern Brave'}],hist_data/ADVANCED/2024/Aug/17/33498595/1.231859758
Southern Brave Women v Manchester Originals Women,1.231242460,33455020,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096579, 'name': 'Southern Brave Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096590, 'name': 'Manchester Originals Women'}],hist_data/ADVANCED/2024/Aug/1/33455020/1.231242460
Southern Brave v Manchester Originals,1.231241311,33454955,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354926, 'name': 'Southern Brave'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354922, 'name': 'Manchester Originals'}],hist_data/ADVANCED/2024/Aug/1/33454955/1.231241311
London Spirit Women v Welsh Fire Women,1.231174262,33450161,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096576, 'name': 'London Spirit Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096581, 'name': 'Welsh Fire Women'}],hist_data/ADVANCED/2024/Aug/1/33450161/1.231174262
London Spirit v Welsh Fire,1.231172884,33450078,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354928, 'name': 'London Spirit'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354927, 'name': 'Welsh Fire'}],hist_data/ADVANCED/2024/Aug/1/33450078/1.231172884
Welsh Fire v Birmingham Phoenix,1.231582994,33477722,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354927, 'name': 'Welsh Fire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354921, 'name': 'Birmingham Phoenix'}],hist_data/ADVANCED/2024/Aug/10/33477722/1.231582994
Brampton Wolves v Mississauga Bangla Tigers,1.231653447,33482920,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25173012, 'name': 'Brampton Wolves'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 71847983, 'name': 'Mississauga Bangla Tigers'}],hist_data/ADVANCED/2024/Aug/10/33482920/1.231653447
Welsh Fire Women v Birmingham Phoenix Women,1.231583597,33477708,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096581, 'name': 'Welsh Fire Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096575, 'name': 'Birmingham Phoenix Women'}],hist_data/ADVANCED/2024/Aug/10/33477708/1.231583597
Southern Brave v Trent Rockets,1.231583429,33477706,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354926, 'name': 'Southern Brave'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354925, 'name': 'Trent Rockets'}],hist_data/ADVANCED/2024/Aug/10/33477706/1.231583429
Mississauga Bangla Tigers v Toronto Nationals,1.231540926,33474954,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 71847983, 'name': 'Mississauga Bangla Tigers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 19144236, 'name': 'Toronto Nationals'}],hist_data/ADVANCED/2024/Aug/10/33474954/1.231540926
Brampton Wolves v Toronto Nationals,1.231664751,33483618,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25173012, 'name': 'Brampton Wolves'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 19144236, 'name': 'Toronto Nationals'}],hist_data/ADVANCED/2024/Aug/10/33483618/1.231664751
Southern Brave Women v Trent Rockets Women,1.231583502,33477704,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096579, 'name': 'Southern Brave Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096580, 'name': 'Trent Rockets Women'}],hist_data/ADVANCED/2024/Aug/10/33477704/1.231583502
