timestamp,event_type_id,event_type_name,arb_count,daily_arb_count,weekly_arb_count,interval_seconds
2026-04-18T18:12:19.154577+00:00,10,Unknown,0,0,0,250
2026-04-18T18:12:19.244795+00:00,11,Unknown,0,0,0,250
2026-04-18T18:12:25.046029+00:00,2,Tennis,0,14,14,25
2026-04-18T18:12:35.410261+00:00,4,Unknown,0,20,20,20
2026-04-18T18:12:50.194303+00:00,2,Tennis,0,14,14,25
2026-04-18T18:12:57.165732+00:00,4,Unknown,0,20,20,20
2026-04-18T18:13:15.340298+00:00,2,Tennis,0,14,14,25
2026-04-18T18:13:18.857058+00:00,4,Unknown,0,20,20,20
2026-04-18T18:13:41.735142+00:00,4,Unknown,1,21,21,20
2026-04-18T18:13:41.953974+00:00,2,Tennis,0,14,14,25
2026-04-18T18:14:05.254038+00:00,4,Unknown,1,22,22,20
2026-04-18T18:14:07.226627+00:00,2,Tennis,0,14,14,25
2026-04-18T18:14:27.205705+00:00,4,Unknown,0,22,22,20
2026-04-18T18:14:32.530956+00:00,2,Tennis,0,14,14,25
2026-04-18T18:14:49.002344+00:00,4,Unknown,0,22,22,20
2026-04-18T18:14:57.820832+00:00,2,Tennis,0,14,14,25
2026-04-18T18:15:10.820709+00:00,4,Unknown,0,22,22,20
2026-04-18T18:15:23.120007+00:00,2,Tennis,0,14,14,25
2026-04-18T18:15:32.621605+00:00,4,Unknown,0,22,22,20
2026-04-18T18:15:48.421003+00:00,2,Tennis,0,14,14,25
2026-04-18T18:15:54.639431+00:00,4,Unknown,0,22,22,20
2026-04-18T18:16:13.715512+00:00,2,Tennis,0,14,14,25
2026-04-18T18:16:16.443690+00:00,4,Unknown,0,22,22,20
2026-04-18T18:16:31.049856+00:00,1,Soccer,0,0,0,250
2026-04-18T18:16:31.126473+00:00,3,Cricket,0,0,0,250
2026-04-18T18:16:31.564819+00:00,5,Unknown,0,0,0,250
2026-04-18T18:16:31.719215+00:00,6,Unknown,0,0,0,250
2026-04-18T18:16:31.788528+00:00,7,Unknown,0,0,0,250
2026-04-18T18:16:31.868602+00:00,8,Unknown,0,0,0,250
2026-04-18T18:16:31.944599+00:00,10,Unknown,0,0,0,250
2026-04-18T18:16:32.022363+00:00,11,Unknown,0,0,0,250
2026-04-18T18:16:38.263025+00:00,4,Unknown,0,22,22,20
2026-04-18T18:16:39.560101+00:00,2,Tennis,0,14,14,25
2026-04-18T18:17:00.117378+00:00,4,Unknown,0,22,22,20
2026-04-18T18:17:06.511981+00:00,2,Tennis,1,15,15,20
2026-04-18T18:17:21.810471+00:00,4,Unknown,0,22,22,20
2026-04-18T18:17:26.820917+00:00,2,Tennis,0,15,15,20
2026-04-18T18:17:43.547518+00:00,4,Unknown,0,22,22,20
2026-04-18T18:17:47.182108+00:00,2,Tennis,0,15,15,20
2026-04-18T18:18:05.327976+00:00,4,Unknown,0,22,22,20
2026-04-18T18:18:07.475889+00:00,2,Tennis,0,15,15,20
2026-04-18T18:18:28.166713+00:00,4,Unknown,1,23,23,20
2026-04-18T18:18:28.541139+00:00,2,Tennis,0,15,15,20
2026-04-18T18:18:51.052705+00:00,4,Unknown,1,24,24,20
2026-04-18T18:18:51.356560+00:00,2,Tennis,0,15,15,20
2026-04-18T18:19:14.009495+00:00,4,Unknown,1,25,25,20
2026-04-18T18:19:14.378666+00:00,2,Tennis,0,15,15,20
2026-04-18T18:19:36.862228+00:00,4,Unknown,1,26,26,20
2026-04-18T18:19:37.159744+00:00,2,Tennis,0,15,15,20
2026-04-18T18:19:59.708436+00:00,4,Unknown,1,27,27,20
2026-04-18T18:20:00.009317+00:00,2,Tennis,0,15,15,20
2026-04-18T18:20:22.588504+00:00,4,Unknown,1,28,28,20
2026-04-18T18:20:22.884920+00:00,2,Tennis,0,15,15,20
2026-04-18T18:20:43.993735+00:00,1,Soccer,0,0,0,250
2026-04-18T18:20:44.314122+00:00,2,Tennis,0,15,15,20
2026-04-18T18:20:44.383786+00:00,3,Cricket,0,0,0,250
2026-04-18T18:20:47.266826+00:00,4,Unknown,1,29,29,20
2026-04-18T18:20:47.706305+00:00,5,Unknown,0,0,0,250
2026-04-18T18:20:47.865993+00:00,6,Unknown,0,0,0,250
2026-04-18T18:20:47.939390+00:00,7,Unknown,0,0,0,250
2026-04-18T18:20:48.012347+00:00,8,Unknown,0,0,0,250
2026-04-18T18:20:48.086846+00:00,10,Unknown,0,0,0,250
2026-04-18T18:20:48.158969+00:00,11,Unknown,0,0,0,250
2026-04-18T18:21:04.615417+00:00,2,Tennis,0,15,15,20
2026-04-18T18:21:10.508352+00:00,4,Unknown,1,30,30,20
2026-04-18T18:21:24.907396+00:00,2,Tennis,0,15,15,20
2026-04-18T18:21:32.384245+00:00,4,Unknown,0,30,30,20
2026-04-18T18:21:45.218478+00:00,2,Tennis,0,15,15,20
2026-04-18T18:21:54.285586+00:00,4,Unknown,0,30,30,20
2026-04-18T18:22:05.553008+00:00,2,Tennis,0,15,15,20
2026-04-18T18:22:17.290212+00:00,4,Unknown,1,31,31,20
2026-04-18T18:22:27.439053+00:00,2,Tennis,1,16,16,20
2026-04-18T18:22:40.367361+00:00,4,Unknown,1,32,32,20
2026-04-18T18:22:47.751947+00:00,2,Tennis,0,16,16,20
2026-04-18T18:23:02.340742+00:00,4,Unknown,0,32,32,20
2026-04-18T18:23:08.068803+00:00,2,Tennis,0,16,16,20
2026-04-18T18:23:24.129977+00:00,4,Unknown,0,32,32,20
2026-04-18T18:23:28.389106+00:00,2,Tennis,0,16,16,20
2026-04-18T18:23:45.961897+00:00,4,Unknown,0,32,32,20
2026-04-18T18:23:48.759265+00:00,2,Tennis,0,16,16,20
2026-04-18T18:24:09.034010+00:00,4,Unknown,1,33,33,20
2026-04-18T18:24:09.337085+00:00,2,Tennis,0,16,16,20
2026-04-18T18:24:31.991260+00:00,4,Unknown,1,34,34,20
2026-04-18T18:24:32.302751+00:00,2,Tennis,0,16,16,20
2026-04-18T18:24:55.146320+00:00,4,Unknown,1,35,35,20
2026-04-18T18:24:58.046310+00:00,1,Soccer,0,0,0,250
2026-04-18T18:24:58.419644+00:00,2,Tennis,0,16,16,20
2026-04-18T18:24:58.513214+00:00,3,Cricket,0,0,0,250
2026-04-18T18:24:58.972284+00:00,5,Unknown,0,0,0,250
2026-04-18T18:24:59.129171+00:00,6,Unknown,0,0,0,250
2026-04-18T18:24:59.200669+00:00,7,Unknown,0,0,0,250
2026-04-18T18:24:59.271587+00:00,8,Unknown,0,0,0,250
2026-04-18T18:24:59.346897+00:00,10,Unknown,0,0,0,250
2026-04-18T18:24:59.419687+00:00,11,Unknown,0,0,0,250
2026-04-18T18:25:18.192230+00:00,4,Unknown,1,36,36,20
2026-04-18T18:25:19.489663+00:00,2,Tennis,0,16,16,20
2026-04-18T18:25:41.175745+00:00,4,Unknown,1,37,37,20
2026-04-18T18:25:41.474818+00:00,2,Tennis,0,16,16,20
2026-04-18T18:26:04.320267+00:00,4,Unknown,1,38,38,20
2026-04-18T18:26:04.631008+00:00,2,Tennis,0,16,16,20
2026-04-18T18:26:27.370300+00:00,4,Unknown,1,39,39,20
2026-04-18T18:26:27.666572+00:00,2,Tennis,0,16,16,20
2026-04-18T18:26:50.309530+00:00,4,Unknown,1,40,40,10
2026-04-18T18:26:52.204594+00:00,2,Tennis,1,17,17,20
2026-04-18T18:27:03.355015+00:00,4,Unknown,1,41,41,10
2026-04-18T18:27:12.536870+00:00,2,Tennis,0,17,17,20
2026-04-18T18:27:16.562779+00:00,4,Unknown,1,42,42,10
2026-04-18T18:27:29.591316+00:00,4,Unknown,1,43,43,10
2026-04-18T18:27:32.829361+00:00,2,Tennis,0,17,17,20
2026-04-18T18:27:42.514514+00:00,4,Unknown,1,44,44,10
2026-04-18T18:27:54.342822+00:00,4,Unknown,0,44,44,10
2026-04-18T18:27:54.635858+00:00,2,Tennis,0,17,17,20
2026-04-18T18:28:06.141697+00:00,4,Unknown,0,44,44,10
2026-04-18T18:28:14.940157+00:00,2,Tennis,0,17,17,20
2026-04-18T18:28:18.010066+00:00,4,Unknown,0,44,44,10
2026-04-18T18:28:29.799525+00:00,4,Unknown,0,44,44,10
2026-04-18T18:28:35.241752+00:00,2,Tennis,0,17,17,20
2026-04-18T18:28:41.747858+00:00,4,Unknown,0,44,44,10
2026-04-18T18:28:53.581504+00:00,4,Unknown,0,44,44,10
2026-04-18T18:28:55.561698+00:00,2,Tennis,0,17,17,20
2026-04-18T18:29:05.362192+00:00,4,Unknown,0,44,44,10
2026-04-18T18:29:11.019532+00:00,1,Soccer,0,0,0,250
2026-04-18T18:29:11.097852+00:00,3,Cricket,0,0,0,250
2026-04-18T18:29:11.553981+00:00,5,Unknown,0,0,0,250
2026-04-18T18:29:11.700166+00:00,6,Unknown,0,0,0,250
2026-04-18T18:29:11.776735+00:00,7,Unknown,0,0,0,250
2026-04-18T18:29:11.851430+00:00,8,Unknown,0,0,0,250
2026-04-18T18:29:11.924021+00:00,10,Unknown,0,0,0,250
2026-04-18T18:29:12.001298+00:00,11,Unknown,0,0,0,250
2026-04-18T18:29:17.345880+00:00,4,Unknown,0,44,44,10
2026-04-18T18:29:17.655256+00:00,2,Tennis,0,17,17,20
2026-04-18T18:29:29.311913+00:00,4,Unknown,0,44,44,10
2026-04-18T18:29:37.963388+00:00,2,Tennis,0,17,17,20
2026-04-18T18:29:41.176796+00:00,4,Unknown,0,44,44,10
2026-04-18T18:29:53.026612+00:00,4,Unknown,0,44,44,10
2026-04-18T18:29:58.282424+00:00,2,Tennis,0,17,17,20
2026-04-18T18:30:04.951068+00:00,4,Unknown,0,44,44,10
